objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
birthright-2024,birthright-2024.jpg,,,Birthright: A Vision into the Plight of Southeastern Indigenous Culture through the Eyes of Guernica,John Henry Gloyne,2024,"A ""remix of Picassos Guernica"" that ""depicts the horrors of colonialism and mound desecration from a Cherokee perspective.""",Cherokee;animals;death;mound;tree,"Eastern Band Territory, Cherokee, NC",35.47694,-83.32,McClung Museum,2024.12.1,Image;StillImage,image/jpeg,,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
jar-1958,jar-1958.jpg,,,Jar,Unknown,1662,A porcelain jar from the Kangxi era (1662-1722) containing European bronze mounts.,vase;porcelain;flowers,China,35.8593,104.14,McClung Museum,1958.5.186,Image;PhysicalObject,image/jpeg,,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
peacock-2018,peacock-2018.jpg,,,Peacock Panel,Unknown,1700,A sandstone panel that was part of an unknown Mughal pavilion.,panel;sandstone;pavilion,Northern India,31.147129,75.34,McClung Museum,2018.11,Image;PhysicalObject,image/jpeg,,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
turkey-2024,turkey-2024.jpg,,,Turkey Feather Mantle,Lisa Rutherford,2024,A mantle made of hemp fabric with turkey feathers woven through it,hemp;feather;clothing,"Tahlequah, OK",35.91169,-94.97,McClung Museum,2024.7.1,Image;PhysicalObject,image/jpeg,,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
imperial-1900,imperial-1900.jpg,,,Imperial Dragon Robe,Unknown,1900,A robe from the Qing Dynasty for the imperial family or their consorts,robe;clothing;dragon,"Nanjing, Jiangsu Province, China",32.0584,118.8,McClung Museum,1985.8.2,Image;PhysicalObject,image/jpeg,,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
turkana,turkana.jpg,,,Turkana Boy,Unknown,,A complete homo erectus skeleton from 1.5 million years ago,skeleton;homo-erectus,"Lake Turkana, Kenya",3.6268,36,McClung Museum,KNM-WT 15000,Image;PhysicalObject,image/jpeg,,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
mourning-1900,mourning-1900.jpg,,,Mourning Hair Choker,Once Known American Creator,1900,A Victorian-era choker made of hair from a deceased person,hair;jewelry;death,United States,44.58,-103.46,McClung Museum,1981.5.62,Image;PhysicalObject,image/jpeg,,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
uchikake-1984,uchikake-1984.jpg,,,Uchikake (Bridal Outer Robe),Once Known Japanese Creator,1984,A traditional outer robe for a bride containing peacocks and chrysanthemums,clothing;bird;flowers,"Toyko, Japan",35.6764,139.65,McClung Museum,1986.15.1,Image;PhysicalObject,image/jpeg,,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
sacred-2012,sacred-2012.jpg,,,Sacred Birds of the Mississippians,Jon Tiger,2012,A picture of an ivory-billed woodpecker on a tree with a swamp in the background,bird;tree;water,"Muscogee Territory, Eufaula, OK",35.2922,-95.59,McClung Museum,2023.5.1,Image;StillImage,image/jpeg,,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
